epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.06,1.68902,7.32816,0.04626,0.00965,0.375,0.07844,0.02143,1.51953,13.3114,0.0595,5.716e-05,5.716e-05,5.716e-05
2,61.6104,1.42828,6.62645,0.03753,0.00537,0.41667,0.04426,0.01132,1.5047,13.3141,0.06007,0.000127337,0.000127337,0.000127337
3,95.2966,1.31316,6.54088,0.03394,0.00572,0.58929,0.0357,0.01406,1.48976,13.2232,0.05848,0.000196099,0.000196099,0.000196099
4,128.195,1.25049,6.02965,0.03021,0.00683,0.67857,0.03961,0.02122,1.49434,13.2074,0.05807,0.000263446,0.000263446,0.000263446
5,161.296,1.17572,6.42036,0.02788,0.00826,0.72619,0.0768,0.02825,1.53188,13.2486,0.06031,0.000329379,0.000329379,0.000329379
6,194.331,1.15018,6.39003,0.03025,0.00883,0.81548,0.12543,0.04008,1.47193,13.0211,0.05783,0.000393897,0.000393897,0.000393897
7,226.983,1.11541,6.04604,0.02695,0.00704,0.8631,0.13807,0.06985,1.21856,12.4519,0.04707,0.000457,0.000457,0.000457
8,259.966,1.10076,5.87983,0.02599,0.0068,0.95833,0.19027,0.07258,1.3979,12.5626,0.05323,0.000518688,0.000518688,0.000518688
9,293.023,1.05578,5.95826,0.02592,0.00611,0.95833,0.14814,0.047,1.32735,12.3162,0.05002,0.000578962,0.000578962,0.000578962
10,325.814,1.09109,5.77113,0.02643,0.00565,0.8631,0.17568,0.06295,1.62105,12.8487,0.06256,0.000637821,0.000637821,0.000637821
11,359.191,0.98107,5.72697,0.0233,0.00429,0.91071,0.25536,0.09033,1.29922,12.0837,0.04791,0.000695266,0.000695266,0.000695266
12,394.279,1.09541,5.91254,0.02723,0.00368,0.95833,0.23232,0.07504,1.52122,12.122,0.05974,0.000751295,0.000751295,0.000751295
13,424.322,1.09795,5.57809,0.02586,0.00358,0.95833,0.21379,0.0825,1.44677,11.806,0.05521,0.00080591,0.00080591,0.00080591
14,453.863,1.12515,5.17764,0.02663,0.00372,0.95833,0.2333,0.09613,1.72637,12.0648,0.07002,0.000859111,0.000859111,0.000859111
15,483.327,1.07576,5.19362,0.02531,0.00411,0.95833,0.16948,0.06854,1.46582,11.4959,0.06043,0.000910896,0.000910896,0.000910896
16,512.709,1.13049,5.16977,0.02798,0.00426,0.95833,0.16818,0.06006,1.48069,11.3127,0.06041,0.000961267,0.000961267,0.000961267
17,541.723,1.08351,5.14149,0.02696,0.00394,0.95833,0.26649,0.10812,1.4375,10.8793,0.05887,0.00101022,0.00101022,0.00101022
18,570.563,1.11917,4.86402,0.02709,0.00372,0.95833,0.18403,0.06299,1.68627,11.0426,0.07034,0.00105776,0.00105776,0.00105776
19,599.479,1.2152,4.90727,0.02776,0.41697,0.44048,0.20049,0.05463,1.81521,11.0435,0.07655,0.00110389,0.00110389,0.00110389
20,628.814,1.10607,4.41056,0.02572,0.38815,0.1369,0.15274,0.0622,1.60684,10.1406,0.06533,0.0011486,0.0011486,0.0011486
21,658.666,1.06125,4.63605,0.02581,0.50184,0.08929,0.17886,0.06701,1.68164,9.90451,0.06737,0.00114606,0.00114606,0.00114606
22,687.756,1.16757,4.43926,0.02807,0.62791,0.12604,0.19838,0.07491,1.7913,9.74963,0.07042,0.00113191,0.00113191,0.00113191
23,716.942,1.12445,4.70947,0.02815,0.61263,0.1263,0.25251,0.07789,1.77888,9.47239,0.06922,0.00111776,0.00111776,0.00111776
24,745.925,1.09322,4.24411,0.02657,0.70202,0.15436,0.38139,0.14183,1.26856,8.28578,0.04898,0.00110362,0.00110362,0.00110362
25,776.06,1.24796,4.10574,0.03009,0.74098,0.22619,0.37267,0.17195,1.36675,8.06727,0.05263,0.00108947,0.00108947,0.00108947
26,804.895,1.21128,4.02354,0.02828,0.84933,0.26497,0.33709,0.14349,1.43136,8.0608,0.05659,0.00107532,0.00107532,0.00107532
27,833.642,1.18363,4.30033,0.03157,0.82637,0.19048,0.23703,0.07602,1.80245,8.34457,0.07133,0.00106118,0.00106118,0.00106118
28,863.18,1.20613,3.84735,0.02952,0.50531,0.09048,0.2769,0.07155,1.78963,8.30834,0.0716,0.00104703,0.00104703,0.00104703
29,893.164,1.27026,4.03458,0.03106,0.36447,0.55122,0.22312,0.0752,1.81171,8.33882,0.07157,0.00103288,0.00103288,0.00103288
30,921.969,1.15147,3.86707,0.02927,0.36905,0.26071,0.28092,0.09944,1.70357,8.13007,0.06665,0.00101873,0.00101873,0.00101873
31,950.938,1.1485,3.67938,0.02798,0.15042,0.28571,0.245,0.09652,1.58572,7.80603,0.0633,0.00100459,0.00100459,0.00100459
32,979.834,1.18423,3.63321,0.02898,0.22631,0.30244,0.29226,0.08578,1.91737,7.71897,0.07669,0.00099044,0.00099044,0.00099044
33,1009.1,1.27583,3.5894,0.0309,0.23989,0.33779,0.32193,0.08525,1.93804,7.50797,0.07586,0.000976293,0.000976293,0.000976293
